hour,dispatch_date,lat,lng,crime
19.0,2024-07-16,,,Thefts
22.0,2024-02-17,39.95152657,-75.20327845,Thefts
16.0,2024-05-08,,,Thefts
16.0,2024-04-20,,,Thefts
19.0,2024-08-02,,,Thefts
15.0,2024-08-21,,,Thefts
10.0,2024-04-24,,,Thefts
15.0,2024-04-28,,,Fraud
11.0,2024-04-14,,,Thefts
15.0,2024-05-10,,,Thefts
13.0,2024-06-06,40.07025714,-75.03068309,Thefts
13.0,2024-05-03,,,Theft from Vehicle
12.0,2024-05-02,,,Thefts
5.0,2024-05-06,,,Theft from Vehicle
15.0,2024-04-22,,,Theft from Vehicle
16.0,2024-01-29,39.9358564,-75.14679066,Thefts
11.0,2024-02-02,39.95041162,-75.19260829,Thefts
20.0,2024-02-25,,,Thefts
10.0,2024-06-21,39.96653745,-75.2327558,Thefts
12.0,2024-05-07,,,Thefts
0.0,2024-01-14,40.03957544,-75.15128043,Thefts
8.0,2024-01-11,40.03031665,-75.02342994,Thefts
12.0,2024-02-07,39.9517023,-75.15825188,Thefts
0.0,2024-03-24,,,Theft from Vehicle
9.0,2024-06-14,,,Thefts
19.0,2024-05-13,,,Thefts
10.0,2024-01-13,,,Theft from Vehicle
11.0,2024-01-13,,,Theft from Vehicle
5.0,2024-03-22,39.95504165,-75.16813282,Thefts
15.0,2024-03-24,39.95504165,-75.16813282,Thefts
21.0,2024-06-07,,,Aggravated Assault No Firearm
2.0,2024-04-06,,,Aggravated Assault Firearm
18.0,2024-04-10,,,Aggravated Assault Firearm
13.0,2024-02-18,39.94931819,-75.16081487,Thefts
12.0,2024-02-27,40.01668478,-75.09642259,Thefts
10.0,2024-01-09,40.04087299,-75.07510407,Thefts
8.0,2024-03-24,39.91840889,-75.17999033,Thefts
7.0,2024-06-15,,,Theft from Vehicle
8.0,2024-05-18,,,Thefts
9.0,2024-06-15,,,Theft from Vehicle
7.0,2024-01-01,39.96098508,-75.23285982,Thefts
18.0,2024-07-01,,,Thefts
13.0,2024-02-26,,,Burglary Non-Residential
12.0,2024-04-25,39.95685208,-75.22578402,Aggravated Assault No Firearm
21.0,2024-01-01,,,Robbery Firearm
4.0,2024-07-04,,,Theft from Vehicle
8.0,2024-06-12,,,Theft from Vehicle
18.0,2024-04-01,,,Thefts
9.0,2024-02-01,,,Theft from Vehicle
19.0,2024-06-26,40.00963469,-75.17580691,Theft from Vehicle
12.0,2024-02-07,40.0549583,-75.07491863,Thefts
9.0,2024-07-02,,,Thefts
13.0,2024-01-15,39.99056504,-75.10031949,Thefts
19.0,2024-01-23,,,Theft from Vehicle
5.0,2024-01-30,,,Theft from Vehicle
16.0,2024-01-30,39.91471135,-75.18679809,Burglary Non-Residential
2.0,2024-02-14,,,Rape
9.0,2024-03-29,40.00070884,-75.0993616,Aggravated Assault No Firearm
17.0,2024-06-07,,,Robbery Firearm
19.0,2024-05-15,40.02258574,-75.07830472,Theft from Vehicle
1.0,2024-06-18,,,Thefts
